Date,Link
2021-11-01 21:31:17,https://www.tiktokv.com/share/video/7018951689629682949/
2021-11-04 21:28:55,https://www.tiktokv.com/share/video/7025920454158290182/
2021-11-08 16:27:33,https://www.tiktokv.com/share/video/7027901495303556358/
2021-11-08 16:40:33,https://www.tiktokv.com/share/video/7022320140582964481/
2021-11-08 21:36:31,https://www.tiktokv.com/share/video/7007094792609910017/
2021-11-09 17:30:55,https://www.tiktokv.com/share/video/7027180685882428674/
2021-11-09 17:32:08,https://www.tiktokv.com/share/video/7027193960649067782/
2021-11-09 17:47:50,https://www.tiktokv.com/share/video/7024198426338348294/
2021-11-09 17:47:59,https://www.tiktokv.com/share/video/7025921089154862341/
2021-11-09 20:21:05,https://www.tiktokv.com/share/video/7024062886993595649/
2021-11-09 21:09:35,https://www.tiktokv.com/share/video/7019848283136789765/
2021-11-10 12:58:14,https://www.tiktokv.com/share/video/7022200653539708166/
2021-11-11 13:03:00,https://www.tiktokv.com/share/video/7028796895917116719/
2021-11-12 17:36:35,https://www.tiktokv.com/share/video/7017132859739868421/
2021-11-14 13:17:57,https://www.tiktokv.com/share/video/7030128666440961281/
2021-11-14 14:42:26,https://www.tiktokv.com/share/video/7024892004123331842/
2021-11-14 19:12:28,https://www.tiktokv.com/share/video/7029757546663709999/
2021-11-14 19:40:28,https://www.tiktokv.com/share/video/7029695443160386822/
2021-11-14 21:21:57,https://www.tiktokv.com/share/video/7019563372513430786/
2021-11-16 22:45:31,https://www.tiktokv.com/share/video/7030100907907878150/
2021-11-17 21:32:27,https://www.tiktokv.com/share/video/7031190854043798811/
2021-11-18 06:31:44,https://www.tiktokv.com/share/video/7031201933188680987/
2021-11-18 06:46:35,https://www.tiktokv.com/share/video/7026013206787149083/
2021-11-18 06:47:31,https://www.tiktokv.com/share/video/7025957071698939162/
2021-11-18 19:47:05,https://www.tiktokv.com/share/video/7031423558102338822/
2021-11-18 20:01:06,https://www.tiktokv.com/share/video/7031928498658872577/
2021-11-19 06:15:51,https://www.tiktokv.com/share/video/7018496422743985435/
2021-11-20 13:27:05,https://www.tiktokv.com/share/video/7024762986648702209/
2021-11-20 13:54:41,https://www.tiktokv.com/share/video/7031903399423659266/
2021-11-20 17:10:47,https://www.tiktokv.com/share/video/7029294637516852482/
2021-11-21 13:27:36,https://www.tiktokv.com/share/video/6829876949532396806/
2021-11-21 14:31:20,https://www.tiktokv.com/share/video/7007045212367228161/
2021-11-21 17:49:53,https://www.tiktokv.com/share/video/7032786818156301574/
2021-11-24 05:13:01,https://www.tiktokv.com/share/video/7017359174938021126/
2021-11-24 09:24:44,https://www.tiktokv.com/share/video/7024845502990650630/
2021-11-24 18:15:38,https://www.tiktokv.com/share/video/7015658471865535749/
2021-11-24 19:47:15,https://www.tiktokv.com/share/video/7033484764422229294/
2021-11-25 11:53:45,https://www.tiktokv.com/share/video/7018572652465933574/
2021-11-25 17:57:34,https://www.tiktokv.com/share/video/7033190064179973382/
2021-11-27 10:39:00,https://www.tiktokv.com/share/video/7016328148551830811/
2021-11-27 19:50:31,https://www.tiktokv.com/share/video/7034928410858228994/
2021-11-28 07:32:41,https://www.tiktokv.com/share/video/7025927028117376257/
2021-11-28 07:46:15,https://www.tiktokv.com/share/video/7025353677422464261/
2021-11-28 10:43:34,https://www.tiktokv.com/share/video/6973614203055672602/
2021-11-28 11:31:08,https://www.tiktokv.com/share/video/7016321055157472539/
2021-11-28 17:16:30,https://www.tiktokv.com/share/video/7016288884103384322/
2021-11-28 18:01:47,https://www.tiktokv.com/share/video/7035583773139930374/
2021-12-01 18:30:05,https://www.tiktokv.com/share/video/7035675826033134853/
2021-12-01 21:36:43,https://www.tiktokv.com/share/video/6978645011021712641/
2021-12-02 19:23:20,https://www.tiktokv.com/share/video/7035989111123102981/
2021-12-03 04:51:27,https://www.tiktokv.com/share/video/7037012993237929243/
2021-12-03 05:04:18,https://www.tiktokv.com/share/video/7037100104683179269/
2021-12-03 12:33:40,https://www.tiktokv.com/share/video/7036960548600302875/
2021-12-03 18:46:23,https://www.tiktokv.com/share/video/7037194237976497455/
2021-12-04 14:13:14,https://www.tiktokv.com/share/video/7037793540373564698/
